,User,Date Created,Number of Likes,Source of Tweet,Tweet,Follower Count,Date,Created
421,thegenerating,2023-01-05 04:00:45+00:00,0,Twitter Web App,"#crude price fall,#reliance share price,#jreliance share news,#pharma stocks,#corona news,#corona latest news,#covid latest news,#reliance stock news,#stock market fall reason,#stock market fall,#stock market crash,#stock market,#sbi share news,#awl share news, #patanjali share https://t.co/CMDFfvvIPd",8,1/5/2023,04:00:45+00:00
422,EagleEyeReview,2023-01-05 03:55:21+00:00,0,EagleEyeStock,"Daily Update #05Jan2023 09:25
Stock : #RELIANCE
OPEN :2557
HIGH :2561.05
LOW :2514
CLOSE :2518.55
PreClose :2557.05
Change :-38.5 (-1.51%)
#investing #nifty #nifty50 #StockMarcket #business #finance #Financial #invest #stocks",1095,1/5/2023,03:55:21+00:00
423,TheMarketCrux,2023-01-05 03:39:25+00:00,1,front.page,"#NIFTY50 IS OPENING 66 POINTS GAP UP, IF NO SELLING AT OPENING, IT SHALL SUSTAIN AND TRY TO MOVE UP.
STOCKS TO TRADE:
#RELIANCE 
#TCS 
#BAJFINANCE 
#BHARTIARTL 
#ICICIBANK #frontpage_app",1609,1/5/2023,03:39:25+00:00
424,kamisama_kotoba,2023-01-05 03:33:29+00:00,0,twittbot.net,"#SelfRespect #reliance
https://t.co/h4Qx4MFe82",5746,1/5/2023,03:33:29+00:00
425,jais_george,2023-01-05 03:30:13+00:00,2,ETRetail.com,Microsoft is now building global products in India: CEO Satya Nadella #Microsoft #Nadella #India #VirtualReality #Upi #UnitedPaymentsInterface #Metaverse #TataDigital #RelianceIndustries #Internet #MicrosoftIndia  https://t.co/ytv1PfVDor,752,1/5/2023,03:30:13+00:00
426,StockInvesta,2023-01-05 02:59:29+00:00,7,Buffer,"#Market #Update

Follow @StockInvesta now

#StockMarket #niftyOptions #banknifty #StocksToBuy #StocksInFocus #StockMarketIndia #Zerodha #StockToWatch #DowJones #NASDAQ #VerifiedBySensibull #AXISBANK #sharemarket #optionbuying #HDFCLIFE #Reliance #Adani #Dmart #SGXNifty #Expiry https://t.co/1bMTifpizv",1114,1/5/2023,02:59:29+00:00
427,bqprime,2023-01-05 02:55:14+00:00,7,TweetDeck,"#MukeshAmbani will be focusing on #Reliance’s pivot to green energy, after putting his children in charge of other businesses.   

https://t.co/72HJxmKdhH",295178,1/5/2023,02:55:14+00:00
428,jais_george,2023-01-05 02:30:09+00:00,0,ETRetail.com,Cloud Economics: The CIO Handbook #RajeevBatra #GopiThangavel #RelianceIndustries #Ibm #GroupTechnologyOfficer #GroupCio #EtcioCloudAndDataCenterSummit #AbhishekSukhwal #MahindraMahindra #BennettColeman  https://t.co/QnSNNMzSmx,752,1/5/2023,02:30:09+00:00
429,jais_george,2023-01-05 02:30:06+00:00,0,ETRetail.com,Microsoft is now building global products in India: CEO Satya Nadella #Microsoft #Nadella #India #VirtualReality #Upi #UnitedPaymentsInterface #Metaverse #TataDigital #RelianceIndustries #Internet #MicrosoftIndia  https://t.co/H0DQohMSZs,752,1/5/2023,02:30:06+00:00
430,ETTelecom,2023-01-05 02:30:05+00:00,0,ETRetail.com,Microsoft is now building global products in India: CEO Satya Nadella #Microsoft #Nadella #India #VirtualReality #Upi #UnitedPaymentsInterface #Metaverse #TataDigital #RelianceIndustries #Internet #MicrosoftIndia  https://t.co/6hYVze5oWy,45886,1/5/2023,02:30:05+00:00
431,Divya_Bhaskar,2023-01-05 02:20:00+00:00,46,Twitter Web App,"રિલાયન્સને Sosyoનો ટેસ્ટ પસંદ પડ્યો: રિલાયન્સ 100 વર્ષ જૂના બેવરેજ ઉત્પાદક સોસીયો હજૂરી બેવરેજીસ પ્રાઇવેટ લિમિટેડમાં 50% હિસ્સો હસ્તગત કરશે
#Reliance | #SosyoHajooriBeverages | #PrivateLimited
https://t.co/Jw5wS13M0n",583742,1/5/2023,02:20:00+00:00
432,jais_george,2023-01-05 02:00:05+00:00,0,ETRetail.com,India showing intense tech usage I’ve not seen before: Satya Nadella #Microsoft #SatyaNadella #India #Tatas #StateBankOfIndia #SencoGold #Reliance #TataDigital #Jio #StateBankOfIndia #Reliance #Internet  https://t.co/yaCXySliU4,752,1/5/2023,02:00:05+00:00
433,ETTelecom,2023-01-05 02:00:04+00:00,1,ETRetail.com,India showing intense tech usage I’ve not seen before: Satya Nadella #Microsoft #SatyaNadella #India #Tatas #StateBankOfIndia #SencoGold #Reliance #TataDigital #Jio #StateBankOfIndia #Reliance #Internet  https://t.co/DlIzW6SDrm,45886,1/5/2023,02:00:04+00:00
434,merincafe,2023-01-05 01:59:06+00:00,0,Twitter for Android,"#JIO #MukeshAmbani #AkashAmbani #sandipdas #telecommunication
#28days #recharge @reliancejio @reliancegroup #Reliance https://t.co/dA462e7CFQ",531,1/5/2023,01:59:06+00:00
435,oberoi_jitendra,2023-01-05 01:07:05+00:00,0,Twitter for iPhone,#Reliance. Will it break the trend line or bounce. 2490 is strong support. Can bounce from that level. But Daily close below 2520 is a trouble. https://t.co/XvCuBpdCIu,325,1/5/2023,01:07:05+00:00
436,trade4_money,2023-01-05 00:02:13+00:00,0,"Pipedream, Inc",#RELIANCE: Head and Shoulders Breakout https://t.co/51MEfpC4bz,336,1/5/2023,00:02:13+00:00
437,AbhipraGroup,2023-01-05 00:01:20+00:00,0,Abhipra Market Updates,"#RelianceIndustries $RELIANCE Monthwise Daily High - Low Movement Box Plot
Avg day swing for last month is 34.35
Avg day swing for last 5 months is 42.99 https://t.co/A6kjyzeKx8",736,1/5/2023,00:01:20+00:00
